cm-1,k
0.9667910156249988,2.819
4.823725097656251,1.628
8.680659179687495,1.18
12.537593261718747,0.922
16.39452734375,0.802
20.25146142578125,0.717
24.1083955078125,0.657
27.965329589843748,0.612
31.822263671875,0.58
35.67919775390625,0.552
39.536131835937496,0.53
43.39306591796875,0.512
47.25,0.497
51.105186523437496,0.4845
58.8190546875,0.4651
66.5329228515625,0.4531
74.246791015625,0.4478
81.9606591796875,0.4491
89.67452734375,0.4556
97.3883955078125,0.4663
105.102263671875,0.4794
112.8161318359375,0.4937
120.53,0.5076
128.238109375,0.5201
135.9519775390625,0.53
143.665845703125,0.5368
151.3797138671875,0.5398
159.09358203124998,0.5389
166.8074501953125,0.5339
174.521318359375,0.525
182.2351865234375,0.5127
189.9490546875,0.4974
197.66292285156248,0.4798
205.376791015625,0.4605
213.0906591796875,0.4403
220.80452734375,0.4199
228.5183955078125,0.4
236.232263671875,0.3813
243.9461318359375,0.3644
251.66,0.3498
259.378109375,0.3378
267.0919775390625,0.3284
274.805845703125,0.3215
282.51971386718753,0.317
290.23358203125,0.3143
297.9474501953125,0.3133
305.661318359375,0.3134
313.3751865234375,0.3146
321.08905468750004,0.3164
328.8029228515625,0.3188
336.516791015625,0.3217
344.2306591796875,0.3248
351.94452734375,0.3283
359.6583955078125,0.332
367.37226367187503,0.3358
375.0861318359375,0.3398
382.8,0.3437
390.50810937499995,0.3477
398.22197753906244,0.3518
405.935845703125,0.3558
413.6497138671874,0.3598
421.36358203124996,0.3638
429.07745019531245,0.3678
436.79131835937494,0.3717
444.50518652343743,0.3757
452.2190546874999,0.3796
459.93292285156247,0.3836
467.64679101562496,0.3876
475.36065917968745,0.3916
483.07452734374993,0.3956
490.7883955078124,0.3997
498.50226367187497,0.4038
506.21613183593746,0.4078
513.93,0.4118
521.6481093750001,0.4157
529.3619775390625,0.4195
537.0758457031251,0.4232
544.7897138671875,0.4266
552.5035820312501,0.4299
560.2174501953125,0.4328
567.931318359375,0.4354
575.6451865234376,0.4376
583.3590546875,0.4408
591.0729228515626,0.4425
598.786791015625,0.4425
606.5006591796875,0.4419
614.2145273437501,0.4407
621.9283955078125,0.4389
629.6422636718751,0.4362
637.3561318359375,0.4335
645.07,0.4301
652.788109375,0.4259
660.5019775390625,0.4214
668.2158457031251,0.4172
675.9297138671875,0.413
683.64358203125,0.4085
691.3574501953126,0.4034
699.071318359375,0.398
706.7851865234376,0.3923
714.4990546875,0.3868
722.2129228515626,0.3812
729.926791015625,0.3756
737.6406591796875,0.3691
745.3545273437501,0.3608
753.0683955078125,0.3521
760.7822636718751,0.3419
768.4961318359375,0.331
776.21,0.3196
783.9181093750001,0.3077
791.6319775390625,0.2961
799.3458457031251,0.2839
807.0597138671875,0.2714
814.77358203125,0.2584
822.4874501953125,0.2452
830.201318359375,0.2317
837.9151865234376,0.2181
845.6290546875,0.2045
853.3429228515625,0.191
861.056791015625,0.1778
868.7706591796875,0.165
876.4845273437501,0.1527
884.1983955078125,0.1411
891.912263671875,0.1302
899.6261318359375,0.1201
907.34,0.1108
915.058109375,0.1024
