cm-1,mol-abs
0.9667910156249988,0.268
4.823725097656251,0.774
8.680659179687495,1.01
12.537593261718747,1.139
16.39452734375,1.297
20.25146142578125,1.432
24.1083955078125,1.562
27.965329589843748,1.687
31.822263671875,1.819
35.67919775390625,1.942
39.536131835937496,2.065
43.39306591796875,2.19
47.25,2.317
51.105186523437496,2.441
58.8190546875,2.697
66.5329228515625,2.972
74.246791015625,3.278
81.9606591796875,3.629
89.67452734375,4.0280000000000005
97.3883955078125,4.478
105.102263671875,4.968
112.8161318359375,5.492
120.53,6.032
128.238109375,6.5760000000000005
135.9519775390625,7.105
143.665845703125,7.604
151.3797138671875,8.057
159.09358203124998,8.453
166.8074501953125,8.781
174.521318359375,9.035
182.2351865234375,9.212
189.9490546875,9.316
197.66292285156248,9.351
205.376791015625,9.326
213.0906591796875,9.25
220.80452734375,9.143
228.5183955078125,9.013
236.232263671875,8.882
243.9461318359375,8.765
251.66,8.68
259.378109375,8.64
267.0919775390625,8.65
274.805845703125,8.71
282.51971386718753,8.83
290.23358203125,9.0
297.9474501953125,9.200000000000001
305.661318359375,9.450000000000001
313.3751865234375,9.72
321.08905468750004,10.02
328.8029228515625,10.34
336.516791015625,10.67
344.2306591796875,11.03
351.94452734375,11.39
359.6583955078125,11.77
367.37226367187503,12.16
375.0861318359375,12.57
382.8,12.97
390.50810937499995,13.39
398.22197753906244,13.81
405.935845703125,14.24
413.6497138671874,14.68
421.36358203124996,15.120000000000001
429.07745019531245,15.56
436.79131835937494,16.01
444.50518652343743,16.46
452.2190546874999,16.93
459.93292285156247,17.39
467.64679101562496,17.87
475.36065917968745,18.35
483.07452734374993,18.85
490.7883955078124,19.34
498.50226367187497,19.85
506.21613183593746,20.35
513.93,20.87
521.6481093750001,21.38
529.3619775390625,21.900000000000002
537.0758457031251,22.41
544.7897138671875,22.91
552.5035820312501,23.42
560.2174501953125,23.91
567.931318359375,24.38
575.6451865234376,24.84
583.3590546875,25.35
591.0729228515626,25.79
598.786791015625,26.13
606.5006591796875,26.42
614.2145273437501,26.69
621.9283955078125,26.92
629.6422636718751,27.080000000000002
637.3561318359375,27.240000000000002
645.07,27.36
652.788109375,27.41
660.5019775390625,27.44
668.2158457031251,27.490000000000002
675.9297138671875,27.53
683.64358203125,27.53
691.3574501953126,27.5
699.071318359375,27.43
706.7851865234376,27.34
714.4990546875,27.25
722.2129228515626,27.14
729.926791015625,27.03
737.6406591796875,26.84
745.3545273437501,26.51
753.0683955078125,26.14
760.7822636718751,25.650000000000002
768.4961318359375,25.080000000000002
776.21,24.46
783.9181093750001,23.78
791.6319775390625,23.11
799.3458457031251,22.38
807.0597138671875,21.6
814.77358203125,20.76
822.4874501953125,19.88
830.201318359375,18.97
837.9151865234376,18.02
845.6290546875,17.05
853.3429228515625,16.07
861.056791015625,15.09
868.7706591796875,14.14
876.4845273437501,13.19
884.1983955078125,12.3
891.912263671875,11.450000000000001
899.6261318359375,10.65
907.34,9.91
915.058109375,9.235
922.7719775390625,8.626
930.485845703125,8.071
938.1997138671875,7.58
945.91358203125,7.149
953.6274501953126,6.767
961.341318359375,6.428
969.0551865234376,6.146
976.7690546875,5.897
984.4829228515625,5.678
992.196791015625,5.486
999.9106591796875,5.322
1007.6245273437501,5.176
1015.3383955078125,5.049
1023.052263671875,4.939
1030.7661318359376,4.838
1038.48,4.751
1046.1881093749998,4.678
1053.9019775390625,4.615
1061.615845703125,4.559
1069.3297138671874,4.51
1077.0435820312498,4.471
1084.7574501953125,4.433
1092.471318359375,4.4
1100.1851865234373,4.369
1107.8990546875,4.339
1115.6129228515624,4.3100000000000005
1123.3267910156248,4.279
1131.0406591796873,4.292
1138.75452734375,4.327
1146.4683955078124,4.351
1154.1822636718748,4.321
1161.8961318359375,4.311
1169.61,4.316
1177.328109375,4.323
1185.0419775390626,4.328
1192.755845703125,4.343
1200.4697138671875,4.375
1208.18358203125,4.388
1215.8974501953126,4.384
1223.611318359375,4.388
1231.3251865234374,4.409
1239.0390546875,4.428
1246.7529228515625,4.465
1254.466791015625,4.505
1262.1806591796876,4.543
1269.89452734375,4.57
1277.6083955078125,4.591
1285.322263671875,4.606
1293.0361318359376,4.618
1300.75,4.635
1308.458109375,4.65
1316.1719775390627,4.666
1323.8858457031251,4.679
1331.5997138671876,4.6930000000000005
1339.31358203125,4.704
1347.0274501953127,4.719
1354.741318359375,4.7330000000000005
1362.4551865234375,4.748
1370.1690546875002,4.765
1377.8829228515626,4.783
1385.596791015625,4.803
1393.3106591796877,4.824
1401.0245273437502,4.845
1408.7383955078126,4.87
1416.452263671875,4.9
1424.1661318359377,4.934
1431.88,4.9670000000000005
1439.598109375,5.007
1447.3119775390626,5.0440000000000005
1455.025845703125,5.085
1462.7397138671874,5.125
1470.4535820312499,5.181
1478.1674501953125,5.247
