cm-1,XE,YE,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
4154.88,5,-6,1006,1149,1311,1539,1776,1955,2053,2116,2150,2230,2439,,,,,,
3842.47,2,-6,2474,2515,2559,2605,2659,2709,2769,2830,2897,2965,3039,3119,3205,3289,3386,3486,3589
3776.90,2,-6,3699,3819,3948,4090,4236,4397,4570,4768,4979,5220,5489,5797,6144,6551,7016,7481,7946
3711.33,2,-5,882,985,1109,1253,1426,1627,1864,2135,2450,2803,3195,3623,,,,,
3661.19,3,-4,456,555,653,749,839,926,1012,1098,1186,1277,1370,1466,1565,1667,1770,1873,1977
3530.06,3,-4,2079,2179,2277,2371,2463,2551,2635,2714,2790,2861,2925,2983,3031,3071,3098,3115,3120
3398.92,3,-4,3111,3092,3063,3023,2978,2927,2872,2816,2758,2702,2645,2591,2538,2487,2437,2386,2335
3267.79,3,-4,2283,2228,2168,2106,2038,1966,1890,1810,1729,1645,1561,1477,1396,1317,1239,1166,1095
3136.65,3,-4,1028,964,903,846,792,742,694,649,607,567,530,495,463,433,404,377,352
3005.51,3,-5,3289,3072,2867,2678,2529,2388,2221,2083,1945,1816,1694,1588,1489,1395,1309,1230,1151
2874.38,3,-5,1081,1020,953,894,845,795,750,701,665,636,606,577,546,518,493,470,451
2743.24,3,-6,4315,4156,4016,3890,3785,3694,3601,3542,3486,3426,3376,3348,3358,3354,3365,3394,3400
2612.11,3,-6,3461,3507,3546,3639,3695,3745,3821,3911,3990,4066,4160,4253,4330,4463,4594,4706,4804
2480.97,3,-6,4924,5063,5196,5347,5490,5642,5770,5922,6103,6264,6444,6611,6773,6935,7140,7353,7548
2349.83,3,-5,779,801,822,842,868,897,930,961,994,1029,1063,1099,1136,1173,1211,1250,1287
2218.70,3,-5,1326,1366,1403,1442,1479,1512,1545,1573,1600,1622,1639,1652,1660,1663,1662,1656,1645
2087.56,3,-5,1629,1609,1588,1562,1533,1502,1469,1433,1399,1363,1327,1291,1255,1221,1190,1160,1132
1956.43,3,-5,1105,1083,1064,1047,1034,1023,1016,1012,1011,1013,1018,1026,1038,1052,1073,1096,1125
1825.29,3,-5,1160,1200,1249,1307,1377,1462,1567,1692,1846,2035,2273,2574,2960,3455,4079,4862,5821
1694.16,3,-4,696,823,958,1091,1213,1310,1368,1366,1295,1165,1013,871,753,662,593,541,501
1563.02,3,-5,4711,4473,4278,4120,3999,3901,3817,3752,3703,3664,3624,3600,3573,3554,3544,3535,3527
1431.88,3,-5,3518,3514,3509,3506,3508,3511,3516,3520,3527,3534,3543,3553,3562,3574,3584,3596,3604
1300.75,3,-5,3614,3622,3635,3644,3650,3650,3642,3632,3624,3632,3637,3657,3683,3696,3693,3704,3724
1169.61,3,-5,3743,3763,3797,3849,3853,3848,3863,3918,3972,4027,4085,4145,4210,4278,4356,4441,4535
1038.48,3,-4,464,476,490,504,521,540,561,585,612,643,678,720,766,819,880,948,1024
907.34,3,-4,1108,1201,1302,1411,1527,1650,1778,1910,2045,2181,2317,2452,2584,2714,2839,2961,3077
776.21,3,-4,3196,3310,3419,3521,3608,3691,3756,3812,3868,3923,3980,4034,4085,4130,4172,4214,4259
645.07,3,-4,4301,4335,4362,4389,4407,4419,4425,4425,4408,4376,4354,4328,4299,4266,4232,4195,4157
513.93,3,-4,4118,4078,4038,3997,3956,3916,3876,3836,3796,3757,3717,3678,3638,3598,3558,3518,3477
382.80,3,-4,3437,3398,3358,3320,3283,3248,3217,3188,3164,3146,3134,3133,3143,3170,3215,3284,3378
251.66,3,-4,3498,3644,3813,4000,4199,4403,4605,4798,4974,5127,5250,5339,5389,5398,5368,5300,5201
120.53,3,-4,5076,4937,4794,4663,4556,4491,4478,4531,4651,4845,,,,,,,
47.25,2,-3,497,512,530,552,580,612,657,717,802,922,1180,1628,2819,,,,
