cm-1,XE,YE,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
15000.6,5,-7,359,358,356,356,355,355,381,380,379,378,378,377,376,402,401,401,399
14476.0,5,-7,426,424,450,449,474,500,498,523,548,573,599,623,647,672,722,746,796
13951.5,5,-7,871,920,995,1044,1118,1191,1264,1388,1510,1658,1779,1950,2020,2115,2159,2180,2200
13427.0,5,-7,2219,2215,2209,2229,2223,2242,2237,2232,2227,2245,2241,2235,2230,2201,2196,2190,2162
12902.4,5,-7,2156,2151,2123,2093,2066,2037,1985,1957,1929,1879,1851,1823,1795,1745,1740,1714,1709
12377.9,5,-7,1705,1701,1719,1737,1755,1795,1836,1899,2005,2156,2350,2587,2779,2904,3005,3063,3121
11853.3,5,-7,3179,3213,3270,3283,3318,3373,3429,3441,3517,3572,3626,3700,3775,3849,3943,4037,4152
11328.8,5,-7,4244,4358,4469,4581,4692,4802,4891,5000,5129,5257,5404,5570,5776,6040,6364,6805,7363
10804.2,5,-6,806,894,996,1108,1218,1375,1543,1729,1958,2262,2623,3027,3334,3542,3656,3728,3764
10279.7,5,-6,3800,3815,3806,3762,3708,3628,3535,3430,3318,3202,3075,2950,2806,2662,2534,2405,2254
9755.15,5,-6,2116,1984,1850,1734,1624,1525,1434,1342,1280,1220,1178,1138,1120,1105,1103,1114,1131
9230.61,5,-6,1171,1225,1280,1346,1435,1522,1613,1715,1820,1866,2011,2188,2475,2963,3731,4823,6041
8706.06,5,-5,725,830,889,924,938,948,965,966,976,985,994,1004,1002,995,986,977,967
8181.52,5,-5,951,939,929,913,905,889,874,863,859,849,848,864,879,912,938,984,1042
7656.98,5,-4,112,122,133,148,164,183,204,226,249,267,286,313,351,418,537,736,1054
7132.43,5,-4,1414,1734,2001,2173,2335,2443,2527,2555,2570,2559,2492,2375,2226,2072,1892,1746,1599
6607.89,5,-4,1453,1325,1220,1130,1022,942,869,804,748,705,664,625,594,569,545,525,506
6083.35,5,-5,4925,4801,4698,4626,4578,4579,4592,4637,4732,4892,5095,5382,5786,6185,6711,,
5635.94,4,-5,6884,7034,7147,7207,7205,7182,7245,7236,7182,7217,7238,7320,7473,7682,7909,8505,9372
5373.67,4,-4,1066,1264,1613,2163,2960,4120,5597,7158,8499,9483,,,,,,,
5203.97,5,-3,1050,1071,1029,943,843,746,655,575,508,446,395,351,310,277,249,225,206
4679.42,5,-4,1904,1778,1693,1629,1588,1575,1584,1621,1683,1782,1920,2093,2315,2579,2936,3248,3652
4154.88,5,-4,4120,4672,5290,6166,7060,7713,8034,8216,8284,8526,9248,,,,,,
3842.47,2,-3,937,952,968,984,1003,1021,1043,1065,1089,1113,1140,1168,1200,1230,1265,1301,1338
3776.90,2,-3,1377,1421,1467,1519,1571,1629,1691,1763,1839,1926,2023,2135,2260,2407,2575,2743,2911
3711.33,2,-2,323,360,405,457,520,592,678,776,889,1016,1157,1311,,,,,
3661.19,3,-2,1647,1999,2349,2685,3003,3308,3607,3907,4210,4521,4841,5170,5508,5852,6200,6549,6895
3530.06,3,-1,723,757,789,820,850,878,905,930,954,976,996,1013,1027,1039,1045,1049,1048
3398.92,3,-1,1043,1034,1022,1006,989,970,949,929,908,887,866,847,828,809,791,772,754
3267.79,3,-2,7355,7160,6953,6738,6505,6260,6005,5737,5465,5187,4911,4637,4370,4113,3861,3623,3395
3136.65,3,-2,3179,2973,2780,2598,2426,2265,2114,1972,1839,1715,1599,1491,1390,1295,1206,1123,1046
3005.51,3,-3,9748,9079,8453,7875,7418,6986,6482,6062,5646,5258,4892,4574,4276,3996,3740,3504,3271
2874.38,3,-3,3065,2883,2687,2514,2371,2224,2092,1949,1844,1758,1672,1586,1497,1417,1344,1279,1224
2743.24,3,-3,1167,1121,1080,1043,1012,985,958,939,922,903,887,878,878,874,874,879,878
2612.11,3,-3,891,900,908,929,940,950,967,986,1003,1019,1040,1060,1076,1105,1134,1158,1179
2480.97,3,-3,1205,1235,1263,1296,1326,1359,1385,1417,1456,1490,1527,1562,1595,1628,1670,1715,1755
2349.83,3,-3,1805,1849,1892,1931,1985,2045,2112,2176,2243,2313,2382,2455,2528,2601,2677,2753,2825
2218.70,3,-3,2900,2977,3048,3121,3191,3251,3309,3358,3403,3437,3461,3475,3480,3474,3459,3435,3398
2087.56,3,-3,3354,3300,3245,3180,3108,3035,2957,2874,2794,2712,2630,2549,2469,2393,2322,2255,2192
1956.43,3,-3,2132,2081,2036,1997,1962,1935,1913,1898,1889,1884,1886,1893,1908,1925,1955,1990,2033
1825.29,3,-3,2087,2151,2228,2322,2437,2575,2748,2955,3210,3523,3918,4417,5058,5876,6907,8195,9768
1694.16,3,-2,1162,1369,1586,1798,1989,2139,2223,2210,2084,1867,1615,1382,1190,1040,927,842,777
1563.02,3,-3,7260,6859,6529,6256,6041,5863,5709,5582,5482,5396,5309,5247,5181,5125,5085,5044,5007
1431.88,3,-3,4967,4934,4900,4870,4845,4824,4803,4783,4765,4748,4733,4719,4704,4693,4679,4666,4650
1300.75,3,-3,4635,4618,4606,4591,4570,4543,4505,4465,4428,4409,4388,4384,4388,4375,4343,4328,4323
1169.61,3,-3,4316,4311,4321,4351,4327,4292,4279,4310,4339,4369,4400,4433,4471,4510,4559,4615,4678
1038.48,3,-3,4751,4838,4939,5049,5176,5322,5486,5678,5897,6146,6428,6767,7149,7580,8071,8626,9235
907.34,3,-2,991,1065,1145,1230,1319,1414,1509,1607,1705,1802,1897,1988,2076,2160,2238,2311,2378
776.21,3,-2,2446,2508,2565,2614,2651,2684,2703,2714,2725,2734,2743,2750,2753,2753,2749,2744,2741
645.07,3,-2,2736,2724,2708,2692,2669,2642,2613,2579,2535,2484,2438,2391,2342,2291,2241,2190,2138
