cm-1,n
0.9667910156249988,4.8755
4.823725097656251,3.1053
8.680659179687495,2.5871
12.537593261718747,2.4609
16.39452734375,2.3606
20.25146142578125,2.2879
24.1083955078125,2.2374
27.965329589843748,2.1986
31.822263671875,2.167
35.67919775390625,2.1396
39.536131835937496,2.1168
43.39306591796875,2.0976
47.25,2.0801
51.105186523437496,2.0649
58.8190546875,2.0406
66.5329228515625,2.0224
74.246791015625,2.0082
81.9606591796875,1.9956
89.67452734375,1.9827
97.3883955078125,1.9678
105.102263671875,1.9501
112.8161318359375,1.929
120.53,1.9045
128.238109375,1.8769
135.9519775390625,1.8467
143.665845703125,1.8145
151.3797138671875,1.7813
159.09358203124998,1.7479
166.8074501953125,1.7152
174.521318359375,1.684
182.2351865234375,1.6551
189.9490546875,1.6292
197.66292285156248,1.6066
205.376791015625,1.5876
213.0906591796875,1.5726
220.80452734375,1.5614
228.5183955078125,1.5539
236.232263671875,1.55
243.9461318359375,1.5491
251.66,1.5506
259.378109375,1.554
267.0919775390625,1.5584
274.805845703125,1.5634
282.51971386718753,1.5683
290.23358203125,1.5727
297.9474501953125,1.5766
305.661318359375,1.5796
313.3751865234375,1.582
321.08905468750004,1.5836
328.8029228515625,1.5845
336.516791015625,1.5847
344.2306591796875,1.5845
351.94452734375,1.5836
359.6583955078125,1.5822
367.37226367187503,1.5804
375.0861318359375,1.5782
382.8,1.5755
390.50810937499995,1.5725
398.22197753906244,1.5691
405.935845703125,1.5654
413.6497138671874,1.5615
421.36358203124996,1.5573
429.07745019531245,1.5529
436.79131835937494,1.5483
444.50518652343743,1.5434
452.2190546874999,1.5384
459.93292285156247,1.5331
467.64679101562496,1.5276
475.36065917968745,1.5219
483.07452734374993,1.5159
490.7883955078124,1.5097
498.50226367187497,1.5032
506.21613183593746,1.4962
513.93,1.489
521.6481093750001,1.4814
529.3619775390625,1.4734
537.0758457031251,1.465
544.7897138671875,1.4562
552.5035820312501,1.447
560.2174501953125,1.4374
567.931318359375,1.4275
575.6451865234376,1.4173
583.3590546875,1.4066
591.0729228515626,1.3952
598.786791015625,1.3823
606.5006591796875,1.3702
614.2145273437501,1.3584
